[19Mar2024 15:47:45.037] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, Gottfrid_N, --version, 1.20.1, --gameDir, C:/Users/Gottfrid/AppData/Roaming/PrismLauncher/instances/1.20.1/.minecraft, --assetsDir, C:/Users/Gottfrid/AppData/Roaming/PrismLauncher/assets, --assetIndex, 5, --uuid, bb2d0351fd0f43fba84ac291b43e6b9e, --accessToken, ????????, --userType, msa, --versionType, release, --launchTarget, forgeclient, --fml.forgeVersion, 47.1.101, --fml.fmlVersion, 47.2.2, --fml.mcVersion, 1.20.1, --fml.mcpVersion, 20230612.114412, --width, 854, --height, 480]
[19Mar2024 15:47:45.045] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8.1 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[19Mar2024 15:47:47.052] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[19Mar2024 15:47:47.176] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[19Mar2024 15:47:47.700] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[19Mar2024 15:47:47.741] [main/INFO] [com.teampotato.redirector.Redirector/]: Redirector CoreMod initialized successfully!
[19Mar2024 15:47:47.822] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Gottfrid/AppData/Roaming/PrismLauncher/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23152!/ Service=ModLauncher Env=CLIENT
[19Mar2024 15:47:47.961] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce GTX 1060 3GB/PCIe/SSE2 GL version 4.6.0 NVIDIA 546.65, NVIDIA Corporation
[19Mar2024 15:47:49.060] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "adaptive_performance_tweaks_1.20.1-11.0.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.061] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "adaptive_performance_tweaks_core_1.20.1-11.0.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.061] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "adaptive_performance_tweaks_gamerules_1.20.1-11.0.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.061] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "adaptive_performance_tweaks_items_1.20.1-11.0.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.061] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "adaptive_performance_tweaks_player_1.20.1-11.0.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.061] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "adaptive_performance_tweaks_spawn_1.20.1-11.0.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.061] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AE2-Things-1.2.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.061] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AE2NetworkAnalyzer-1.20-1.0.6-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.062] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ae2wtlib-15.2.2-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.062] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aether-1.20.1-1.3.0-neoforge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
